[2025-10-25 22:44:29,610] [INFO] root: Logging system initialized!
[2025-10-25 22:44:29,610] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-25 22:44:29,610] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-25 22:44:29,611] [INFO] udp_handler: Client connected to 127.0.0.1:50000
[2025-10-25 22:44:29,611] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:30,121] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-10-25 22:44:30,611] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:31,611] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:32,611] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:33,612] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:34,612] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:35,612] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:36,612] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:37,613] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:38,613] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:39,613] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:39,629] [WARNING] uplink: Uplink failed to send 24 bytes of data after 3 retries
[2025-10-25 22:44:40,614] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:41,614] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:42,614] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:43,615] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:44,615] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:45,615] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:46,616] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:47,616] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:48,616] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:49,617] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:50,617] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:51,617] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:52,617] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:53,618] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:54,618] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:55,618] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:56,619] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:57,619] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:58,619] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:44:59,619] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:00,620] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:01,620] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:02,620] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:03,621] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:04,621] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:05,621] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:06,621] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:07,621] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:08,624] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:09,624] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:10,625] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:11,625] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:12,625] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:13,626] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:14,626] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:15,626] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:16,626] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:17,627] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:18,627] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:19,627] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
